"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230710","HD현대오일뱅크","셀프","0","1597","1397","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230711","HD현대오일뱅크","셀프","0","1597","1397","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230712","HD현대오일뱅크","셀프","0","1597","1397","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230713","HD현대오일뱅크","셀프","0","1597","1397","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230714","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230715","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230716","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230717","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230718","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230719","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230720","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230721","HD현대오일뱅크","셀프","0","1627","1427","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230722","HD현대오일뱅크","셀프","0","1627","1447","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230723","HD현대오일뱅크","셀프","0","1627","1447","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230724","HD현대오일뱅크","셀프","0","1627","1447","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230725","HD현대오일뱅크","셀프","0","1647","1447","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230726","HD현대오일뱅크","셀프","0","1647","1447","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230727","HD현대오일뱅크","셀프","0","1677","1487","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230728","HD현대오일뱅크","셀프","0","1677","1487","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230729","HD현대오일뱅크","셀프","0","1677","1487","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230730","HD현대오일뱅크","셀프","0","1677","1487","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230731","HD현대오일뱅크","셀프","0","1677","1487","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230801","HD현대오일뱅크","셀프","0","1697","1497","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230802","HD현대오일뱅크","셀프","0","1697","1497","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230803","HD현대오일뱅크","셀프","0","1727","1527","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230804","HD현대오일뱅크","셀프","0","1727","1527","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230805","HD현대오일뱅크","셀프","0","1727","1527","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230806","HD현대오일뱅크","셀프","0","1727","1557","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230807","HD현대오일뱅크","셀프","0","1727","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230808","HD현대오일뱅크","셀프","0","1727","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230809","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230810","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230811","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230812","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230813","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230814","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230815","HD현대오일뱅크","셀프","0","1757","1597","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230816","HD현대오일뱅크","셀프","0","1757","1647","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230817","HD현대오일뱅크","셀프","0","1757","1647","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230818","HD현대오일뱅크","셀프","0","1778","1697","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230819","HD현대오일뱅크","셀프","0","1778","1697","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230820","HD현대오일뱅크","셀프","0","1778","1697","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230821","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230822","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230823","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230824","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230825","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230826","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230827","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230828","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230829","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230830","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230831","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230901","HD현대오일뱅크","셀프","0","1757","1657","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230902","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230903","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230904","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230905","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230906","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230907","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230908","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230909","HD현대오일뱅크","셀프","0","1778","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230910","HD현대오일뱅크","셀프","0","1798","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230911","HD현대오일뱅크","셀프","0","1798","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230912","HD현대오일뱅크","셀프","0","1798","1678","0"
"A0007548","경기 수원시","(주)나눔에너지","경기 수원시 영통구 영통로 171","20230913","HD현대오일뱅크","셀프","0","1798","1698","0"
